lane,slice_type,condition,difficulty,failure_mode,count,denominator,rate_percent
claude,overall,*,*,non_accept,482,1200,40.167
claude,overall,*,*,reject,84,1200,7.0
claude,overall,*,*,revise,398,1200,33.167
claude,overall,*,*,ambiguity_flagged,102,1200,8.5
claude,overall,*,*,chunks_not_supportive,700,1200,58.333
claude,overall,*,*,answer_not_verifiable,177,1200,14.75
claude,overall,*,*,distractors_not_clear,532,1200,44.333
claude,overall,*,*,reviewer_source_call_inaccurate,737,1200,61.417
claude,overall,*,*,low_source_alignment,817,1200,68.083
claude,overall,*,*,low_distractor_quality,935,1200,77.917
claude,overall,*,*,low_stem_clarity,263,1200,21.917
claude,overall,*,*,difficulty_mismatch,313,1200,26.083
claude,overall,*,*,disagrees_with_reviewer,287,1200,23.917
claude,condition,gpt/baseline,*,non_accept,129,600,21.5
claude,condition,gpt/baseline,*,reject,0,600,0.0
claude,condition,gpt/baseline,*,revise,129,600,21.5
claude,condition,gpt/baseline,*,ambiguity_flagged,2,600,0.333
claude,condition,gpt/baseline,*,chunks_not_supportive,600,600,100.0
claude,condition,gpt/baseline,*,answer_not_verifiable,0,600,0.0
claude,condition,gpt/baseline,*,distractors_not_clear,298,600,49.667
claude,condition,gpt/baseline,*,reviewer_source_call_inaccurate,600,600,100.0
claude,condition,gpt/baseline,*,low_source_alignment,600,600,100.0
claude,condition,gpt/baseline,*,low_distractor_quality,582,600,97.0
claude,condition,gpt/baseline,*,low_stem_clarity,129,600,21.5
claude,condition,gpt/baseline,*,difficulty_mismatch,65,600,10.833
claude,condition,gpt/baseline,*,disagrees_with_reviewer,0,600,0.0
claude,condition,haiku/haiku,*,non_accept,97,150,64.667
claude,condition,haiku/haiku,*,reject,19,150,12.667
claude,condition,haiku/haiku,*,revise,78,150,52.0
claude,condition,haiku/haiku,*,ambiguity_flagged,25,150,16.667
claude,condition,haiku/haiku,*,chunks_not_supportive,37,150,24.667
claude,condition,haiku/haiku,*,answer_not_verifiable,42,150,28.0
claude,condition,haiku/haiku,*,distractors_not_clear,57,150,38.0
claude,condition,haiku/haiku,*,reviewer_source_call_inaccurate,40,150,26.667
claude,condition,haiku/haiku,*,low_source_alignment,53,150,35.333
claude,condition,haiku/haiku,*,low_distractor_quality,96,150,64.0
claude,condition,haiku/haiku,*,low_stem_clarity,33,150,22.0
claude,condition,haiku/haiku,*,difficulty_mismatch,102,150,68.0
claude,condition,haiku/haiku,*,disagrees_with_reviewer,85,150,56.667
claude,condition,haiku/local,*,non_accept,65,150,43.333
claude,condition,haiku/local,*,reject,15,150,10.0
claude,condition,haiku/local,*,revise,50,150,33.333
claude,condition,haiku/local,*,ambiguity_flagged,17,150,11.333
claude,condition,haiku/local,*,chunks_not_supportive,31,150,20.667
claude,condition,haiku/local,*,answer_not_verifiable,38,150,25.333
claude,condition,haiku/local,*,distractors_not_clear,36,150,24.0
claude,condition,haiku/local,*,reviewer_source_call_inaccurate,34,150,22.667
claude,condition,haiku/local,*,low_source_alignment,43,150,28.667
claude,condition,haiku/local,*,low_distractor_quality,62,150,41.333
claude,condition,haiku/local,*,low_stem_clarity,26,150,17.333
claude,condition,haiku/local,*,difficulty_mismatch,23,150,15.333
claude,condition,haiku/local,*,disagrees_with_reviewer,67,150,44.667
claude,condition,local/haiku,*,non_accept,104,150,69.333
claude,condition,local/haiku,*,reject,21,150,14.0
claude,condition,local/haiku,*,revise,83,150,55.333
claude,condition,local/haiku,*,ambiguity_flagged,26,150,17.333
claude,condition,local/haiku,*,chunks_not_supportive,29,150,19.333
claude,condition,local/haiku,*,answer_not_verifiable,55,150,36.667
claude,condition,local/haiku,*,distractors_not_clear,74,150,49.333
claude,condition,local/haiku,*,reviewer_source_call_inaccurate,39,150,26.0
claude,condition,local/haiku,*,low_source_alignment,69,150,46.0
claude,condition,local/haiku,*,low_distractor_quality,96,150,64.0
claude,condition,local/haiku,*,low_stem_clarity,37,150,24.667
claude,condition,local/haiku,*,difficulty_mismatch,72,150,48.0
claude,condition,local/haiku,*,disagrees_with_reviewer,83,150,55.333
claude,condition,local/local,*,non_accept,87,150,58.0
claude,condition,local/local,*,reject,29,150,19.333
claude,condition,local/local,*,revise,58,150,38.667
claude,condition,local/local,*,ambiguity_flagged,32,150,21.333
claude,condition,local/local,*,chunks_not_supportive,3,150,2.0
claude,condition,local/local,*,answer_not_verifiable,42,150,28.0
claude,condition,local/local,*,distractors_not_clear,67,150,44.667
claude,condition,local/local,*,reviewer_source_call_inaccurate,24,150,16.0
claude,condition,local/local,*,low_source_alignment,52,150,34.667
claude,condition,local/local,*,low_distractor_quality,99,150,66.0
claude,condition,local/local,*,low_stem_clarity,38,150,25.333
claude,condition,local/local,*,difficulty_mismatch,51,150,34.0
claude,condition,local/local,*,disagrees_with_reviewer,52,150,34.667
claude,difficulty,*,,non_accept,3,3,100.0
claude,difficulty,*,,reject,1,3,33.333
claude,difficulty,*,,revise,2,3,66.667
claude,difficulty,*,,ambiguity_flagged,2,3,66.667
claude,difficulty,*,,chunks_not_supportive,0,3,0.0
claude,difficulty,*,,answer_not_verifiable,2,3,66.667
claude,difficulty,*,,distractors_not_clear,2,3,66.667
claude,difficulty,*,,reviewer_source_call_inaccurate,2,3,66.667
claude,difficulty,*,,low_source_alignment,1,3,33.333
claude,difficulty,*,,low_distractor_quality,3,3,100.0
claude,difficulty,*,,low_stem_clarity,3,3,100.0
claude,difficulty,*,,difficulty_mismatch,1,3,33.333
claude,difficulty,*,,disagrees_with_reviewer,2,3,66.667
claude,difficulty,*,easy,non_accept,226,400,56.5
claude,difficulty,*,easy,reject,34,400,8.5
claude,difficulty,*,easy,revise,192,400,48.0
claude,difficulty,*,easy,ambiguity_flagged,31,400,7.75
claude,difficulty,*,easy,chunks_not_supportive,227,400,56.75
claude,difficulty,*,easy,answer_not_verifiable,55,400,13.75
claude,difficulty,*,easy,distractors_not_clear,87,400,21.75
claude,difficulty,*,easy,reviewer_source_call_inaccurate,237,400,59.25
claude,difficulty,*,easy,low_source_alignment,270,400,67.5
claude,difficulty,*,easy,low_distractor_quality,327,400,81.75
claude,difficulty,*,easy,low_stem_clarity,149,400,37.25
claude,difficulty,*,easy,difficulty_mismatch,97,400,24.25
claude,difficulty,*,easy,disagrees_with_reviewer,62,400,15.5
claude,difficulty,*,hard,non_accept,140,398,35.176
claude,difficulty,*,hard,reject,30,398,7.538
claude,difficulty,*,hard,revise,110,398,27.638
claude,difficulty,*,hard,ambiguity_flagged,38,398,9.548
claude,difficulty,*,hard,chunks_not_supportive,237,398,59.548
claude,difficulty,*,hard,answer_not_verifiable,66,398,16.583
claude,difficulty,*,hard,distractors_not_clear,287,398,72.111
claude,difficulty,*,hard,reviewer_source_call_inaccurate,249,398,62.563
claude,difficulty,*,hard,low_source_alignment,283,398,71.106
claude,difficulty,*,hard,low_distractor_quality,334,398,83.92
claude,difficulty,*,hard,low_stem_clarity,61,398,15.327
claude,difficulty,*,hard,difficulty_mismatch,135,398,33.92
claude,difficulty,*,hard,disagrees_with_reviewer,126,398,31.658
claude,difficulty,*,medium,non_accept,113,399,28.321
claude,difficulty,*,medium,reject,19,399,4.762
claude,difficulty,*,medium,revise,94,399,23.559
claude,difficulty,*,medium,ambiguity_flagged,31,399,7.769
claude,difficulty,*,medium,chunks_not_supportive,236,399,59.148
claude,difficulty,*,medium,answer_not_verifiable,54,399,13.534
claude,difficulty,*,medium,distractors_not_clear,156,399,39.098
claude,difficulty,*,medium,reviewer_source_call_inaccurate,249,399,62.406
claude,difficulty,*,medium,low_source_alignment,263,399,65.915
claude,difficulty,*,medium,low_distractor_quality,271,399,67.92
claude,difficulty,*,medium,low_stem_clarity,50,399,12.531
claude,difficulty,*,medium,difficulty_mismatch,80,399,20.05
claude,difficulty,*,medium,disagrees_with_reviewer,97,399,24.311
claude,condition_difficulty,gpt/baseline,easy,non_accept,109,200,54.5
claude,condition_difficulty,gpt/baseline,easy,reject,0,200,0.0
claude,condition_difficulty,gpt/baseline,easy,revise,109,200,54.5
claude,condition_difficulty,gpt/baseline,easy,ambiguity_flagged,2,200,1.0
claude,condition_difficulty,gpt/baseline,easy,chunks_not_supportive,200,200,100.0
claude,condition_difficulty,gpt/baseline,easy,answer_not_verifiable,0,200,0.0
claude,condition_difficulty,gpt/baseline,easy,distractors_not_clear,0,200,0.0
claude,condition_difficulty,gpt/baseline,easy,reviewer_source_call_inaccurate,200,200,100.0
claude,condition_difficulty,gpt/baseline,easy,low_source_alignment,200,200,100.0
claude,condition_difficulty,gpt/baseline,easy,low_distractor_quality,200,200,100.0
claude,condition_difficulty,gpt/baseline,easy,low_stem_clarity,109,200,54.5
claude,condition_difficulty,gpt/baseline,easy,difficulty_mismatch,1,200,0.5
claude,condition_difficulty,gpt/baseline,easy,disagrees_with_reviewer,0,200,0.0
claude,condition_difficulty,gpt/baseline,hard,non_accept,0,200,0.0
claude,condition_difficulty,gpt/baseline,hard,reject,0,200,0.0
claude,condition_difficulty,gpt/baseline,hard,revise,0,200,0.0
claude,condition_difficulty,gpt/baseline,hard,ambiguity_flagged,0,200,0.0
claude,condition_difficulty,gpt/baseline,hard,chunks_not_supportive,200,200,100.0
claude,condition_difficulty,gpt/baseline,hard,answer_not_verifiable,0,200,0.0
claude,condition_difficulty,gpt/baseline,hard,distractors_not_clear,200,200,100.0
claude,condition_difficulty,gpt/baseline,hard,reviewer_source_call_inaccurate,200,200,100.0
claude,condition_difficulty,gpt/baseline,hard,low_source_alignment,200,200,100.0
claude,condition_difficulty,gpt/baseline,hard,low_distractor_quality,200,200,100.0
claude,condition_difficulty,gpt/baseline,hard,low_stem_clarity,0,200,0.0
claude,condition_difficulty,gpt/baseline,hard,difficulty_mismatch,64,200,32.0
claude,condition_difficulty,gpt/baseline,hard,disagrees_with_reviewer,0,200,0.0
claude,condition_difficulty,gpt/baseline,medium,non_accept,20,200,10.0
claude,condition_difficulty,gpt/baseline,medium,reject,0,200,0.0
claude,condition_difficulty,gpt/baseline,medium,revise,20,200,10.0
claude,condition_difficulty,gpt/baseline,medium,ambiguity_flagged,0,200,0.0
claude,condition_difficulty,gpt/baseline,medium,chunks_not_supportive,200,200,100.0
claude,condition_difficulty,gpt/baseline,medium,answer_not_verifiable,0,200,0.0
claude,condition_difficulty,gpt/baseline,medium,distractors_not_clear,98,200,49.0
claude,condition_difficulty,gpt/baseline,medium,reviewer_source_call_inaccurate,200,200,100.0
claude,condition_difficulty,gpt/baseline,medium,low_source_alignment,200,200,100.0
claude,condition_difficulty,gpt/baseline,medium,low_distractor_quality,182,200,91.0
claude,condition_difficulty,gpt/baseline,medium,low_stem_clarity,20,200,10.0
claude,condition_difficulty,gpt/baseline,medium,difficulty_mismatch,0,200,0.0
claude,condition_difficulty,gpt/baseline,medium,disagrees_with_reviewer,0,200,0.0
claude,condition_difficulty,haiku/haiku,,non_accept,1,1,100.0
claude,condition_difficulty,haiku/haiku,,reject,0,1,0.0
claude,condition_difficulty,haiku/haiku,,revise,1,1,100.0
claude,condition_difficulty,haiku/haiku,,ambiguity_flagged,0,1,0.0
claude,condition_difficulty,haiku/haiku,,chunks_not_supportive,0,1,0.0
claude,condition_difficulty,haiku/haiku,,answer_not_verifiable,0,1,0.0
claude,condition_difficulty,haiku/haiku,,distractors_not_clear,0,1,0.0
claude,condition_difficulty,haiku/haiku,,reviewer_source_call_inaccurate,0,1,0.0
claude,condition_difficulty,haiku/haiku,,low_source_alignment,0,1,0.0
claude,condition_difficulty,haiku/haiku,,low_distractor_quality,1,1,100.0
claude,condition_difficulty,haiku/haiku,,low_stem_clarity,1,1,100.0
claude,condition_difficulty,haiku/haiku,,difficulty_mismatch,0,1,0.0
claude,condition_difficulty,haiku/haiku,,disagrees_with_reviewer,0,1,0.0
claude,condition_difficulty,haiku/haiku,easy,non_accept,34,50,68.0
claude,condition_difficulty,haiku/haiku,easy,reject,12,50,24.0
claude,condition_difficulty,haiku/haiku,easy,revise,22,50,44.0
claude,condition_difficulty,haiku/haiku,easy,ambiguity_flagged,3,50,6.0
claude,condition_difficulty,haiku/haiku,easy,chunks_not_supportive,17,50,34.0
claude,condition_difficulty,haiku/haiku,easy,answer_not_verifiable,13,50,26.0
claude,condition_difficulty,haiku/haiku,easy,distractors_not_clear,19,50,38.0
claude,condition_difficulty,haiku/haiku,easy,reviewer_source_call_inaccurate,17,50,34.0
claude,condition_difficulty,haiku/haiku,easy,low_source_alignment,21,50,42.0
claude,condition_difficulty,haiku/haiku,easy,low_distractor_quality,34,50,68.0
claude,condition_difficulty,haiku/haiku,easy,low_stem_clarity,13,50,26.0
claude,condition_difficulty,haiku/haiku,easy,difficulty_mismatch,50,50,100.0
claude,condition_difficulty,haiku/haiku,easy,disagrees_with_reviewer,25,50,50.0
claude,condition_difficulty,haiku/haiku,hard,non_accept,39,49,79.592
claude,condition_difficulty,haiku/haiku,hard,reject,5,49,10.204
claude,condition_difficulty,haiku/haiku,hard,revise,34,49,69.388
claude,condition_difficulty,haiku/haiku,hard,ambiguity_flagged,12,49,24.49
claude,condition_difficulty,haiku/haiku,hard,chunks_not_supportive,13,49,26.531
claude,condition_difficulty,haiku/haiku,hard,answer_not_verifiable,16,49,32.653
claude,condition_difficulty,haiku/haiku,hard,distractors_not_clear,22,49,44.898
claude,condition_difficulty,haiku/haiku,hard,reviewer_source_call_inaccurate,14,49,28.571
claude,condition_difficulty,haiku/haiku,hard,low_source_alignment,19,49,38.776
claude,condition_difficulty,haiku/haiku,hard,low_distractor_quality,39,49,79.592
claude,condition_difficulty,haiku/haiku,hard,low_stem_clarity,12,49,24.49
claude,condition_difficulty,haiku/haiku,hard,difficulty_mismatch,18,49,36.735
claude,condition_difficulty,haiku/haiku,hard,disagrees_with_reviewer,37,49,75.51
claude,condition_difficulty,haiku/haiku,medium,non_accept,23,50,46.0
claude,condition_difficulty,haiku/haiku,medium,reject,2,50,4.0
claude,condition_difficulty,haiku/haiku,medium,revise,21,50,42.0
claude,condition_difficulty,haiku/haiku,medium,ambiguity_flagged,10,50,20.0
claude,condition_difficulty,haiku/haiku,medium,chunks_not_supportive,7,50,14.0
claude,condition_difficulty,haiku/haiku,medium,answer_not_verifiable,13,50,26.0
claude,condition_difficulty,haiku/haiku,medium,distractors_not_clear,16,50,32.0
claude,condition_difficulty,haiku/haiku,medium,reviewer_source_call_inaccurate,9,50,18.0
claude,condition_difficulty,haiku/haiku,medium,low_source_alignment,13,50,26.0
claude,condition_difficulty,haiku/haiku,medium,low_distractor_quality,22,50,44.0
claude,condition_difficulty,haiku/haiku,medium,low_stem_clarity,7,50,14.0
claude,condition_difficulty,haiku/haiku,medium,difficulty_mismatch,34,50,68.0
claude,condition_difficulty,haiku/haiku,medium,disagrees_with_reviewer,23,50,46.0
claude,condition_difficulty,haiku/local,easy,non_accept,26,50,52.0
claude,condition_difficulty,haiku/local,easy,reject,2,50,4.0
claude,condition_difficulty,haiku/local,easy,revise,24,50,48.0
claude,condition_difficulty,haiku/local,easy,ambiguity_flagged,7,50,14.0
claude,condition_difficulty,haiku/local,easy,chunks_not_supportive,9,50,18.0
claude,condition_difficulty,haiku/local,easy,answer_not_verifiable,19,50,38.0
claude,condition_difficulty,haiku/local,easy,distractors_not_clear,22,50,44.0
claude,condition_difficulty,haiku/local,easy,reviewer_source_call_inaccurate,6,50,12.0
claude,condition_difficulty,haiku/local,easy,low_source_alignment,15,50,30.0
claude,condition_difficulty,haiku/local,easy,low_distractor_quality,28,50,56.0
claude,condition_difficulty,haiku/local,easy,low_stem_clarity,6,50,12.0
claude,condition_difficulty,haiku/local,easy,difficulty_mismatch,13,50,26.0
claude,condition_difficulty,haiku/local,easy,disagrees_with_reviewer,7,50,14.0
claude,condition_difficulty,haiku/local,hard,non_accept,22,50,44.0
claude,condition_difficulty,haiku/local,hard,reject,8,50,16.0
claude,condition_difficulty,haiku/local,hard,revise,14,50,28.0
claude,condition_difficulty,haiku/local,hard,ambiguity_flagged,6,50,12.0
claude,condition_difficulty,haiku/local,hard,chunks_not_supportive,10,50,20.0
claude,condition_difficulty,haiku/local,hard,answer_not_verifiable,10,50,20.0
claude,condition_difficulty,haiku/local,hard,distractors_not_clear,7,50,14.0
claude,condition_difficulty,haiku/local,hard,reviewer_source_call_inaccurate,14,50,28.0
claude,condition_difficulty,haiku/local,hard,low_source_alignment,15,50,30.0
claude,condition_difficulty,haiku/local,hard,low_distractor_quality,20,50,40.0
claude,condition_difficulty,haiku/local,hard,low_stem_clarity,14,50,28.0
claude,condition_difficulty,haiku/local,hard,difficulty_mismatch,4,50,8.0
claude,condition_difficulty,haiku/local,hard,disagrees_with_reviewer,35,50,70.0
claude,condition_difficulty,haiku/local,medium,non_accept,17,50,34.0
claude,condition_difficulty,haiku/local,medium,reject,5,50,10.0
claude,condition_difficulty,haiku/local,medium,revise,12,50,24.0
claude,condition_difficulty,haiku/local,medium,ambiguity_flagged,4,50,8.0
claude,condition_difficulty,haiku/local,medium,chunks_not_supportive,12,50,24.0
claude,condition_difficulty,haiku/local,medium,answer_not_verifiable,9,50,18.0
claude,condition_difficulty,haiku/local,medium,distractors_not_clear,7,50,14.0
claude,condition_difficulty,haiku/local,medium,reviewer_source_call_inaccurate,14,50,28.0
claude,condition_difficulty,haiku/local,medium,low_source_alignment,13,50,26.0
claude,condition_difficulty,haiku/local,medium,low_distractor_quality,14,50,28.0
claude,condition_difficulty,haiku/local,medium,low_stem_clarity,6,50,12.0
claude,condition_difficulty,haiku/local,medium,difficulty_mismatch,6,50,12.0
claude,condition_difficulty,haiku/local,medium,disagrees_with_reviewer,25,50,50.0
claude,condition_difficulty,local/haiku,,non_accept,1,1,100.0
claude,condition_difficulty,local/haiku,,reject,0,1,0.0
claude,condition_difficulty,local/haiku,,revise,1,1,100.0
claude,condition_difficulty,local/haiku,,ambiguity_flagged,1,1,100.0
claude,condition_difficulty,local/haiku,,chunks_not_supportive,0,1,0.0
claude,condition_difficulty,local/haiku,,answer_not_verifiable,1,1,100.0
claude,condition_difficulty,local/haiku,,distractors_not_clear,1,1,100.0
claude,condition_difficulty,local/haiku,,reviewer_source_call_inaccurate,1,1,100.0
claude,condition_difficulty,local/haiku,,low_source_alignment,0,1,0.0
claude,condition_difficulty,local/haiku,,low_distractor_quality,1,1,100.0
claude,condition_difficulty,local/haiku,,low_stem_clarity,1,1,100.0
claude,condition_difficulty,local/haiku,,difficulty_mismatch,0,1,0.0
claude,condition_difficulty,local/haiku,,disagrees_with_reviewer,1,1,100.0
claude,condition_difficulty,local/haiku,easy,non_accept,29,50,58.0
claude,condition_difficulty,local/haiku,easy,reject,7,50,14.0
claude,condition_difficulty,local/haiku,easy,revise,22,50,44.0
claude,condition_difficulty,local/haiku,easy,ambiguity_flagged,3,50,6.0
claude,condition_difficulty,local/haiku,easy,chunks_not_supportive,0,50,0.0
claude,condition_difficulty,local/haiku,easy,answer_not_verifiable,12,50,24.0
claude,condition_difficulty,local/haiku,easy,distractors_not_clear,26,50,52.0
claude,condition_difficulty,local/haiku,easy,reviewer_source_call_inaccurate,0,50,0.0
claude,condition_difficulty,local/haiku,easy,low_source_alignment,19,50,38.0
claude,condition_difficulty,local/haiku,easy,low_distractor_quality,30,50,60.0
claude,condition_difficulty,local/haiku,easy,low_stem_clarity,8,50,16.0
claude,condition_difficulty,local/haiku,easy,difficulty_mismatch,18,50,36.0
claude,condition_difficulty,local/haiku,easy,disagrees_with_reviewer,11,50,22.0
claude,condition_difficulty,local/haiku,hard,non_accept,40,49,81.633
claude,condition_difficulty,local/haiku,hard,reject,7,49,14.286
claude,condition_difficulty,local/haiku,hard,revise,33,49,67.347
claude,condition_difficulty,local/haiku,hard,ambiguity_flagged,13,49,26.531
claude,condition_difficulty,local/haiku,hard,chunks_not_supportive,14,49,28.571
claude,condition_difficulty,local/haiku,hard,answer_not_verifiable,21,49,42.857
claude,condition_difficulty,local/haiku,hard,distractors_not_clear,24,49,48.98
claude,condition_difficulty,local/haiku,hard,reviewer_source_call_inaccurate,21,49,42.857
claude,condition_difficulty,local/haiku,hard,low_source_alignment,24,49,48.98
claude,condition_difficulty,local/haiku,hard,low_distractor_quality,37,49,75.51
claude,condition_difficulty,local/haiku,hard,low_stem_clarity,18,49,36.735
claude,condition_difficulty,local/haiku,hard,difficulty_mismatch,18,49,36.735
claude,condition_difficulty,local/haiku,hard,disagrees_with_reviewer,41,49,83.673
claude,condition_difficulty,local/haiku,medium,non_accept,34,50,68.0
claude,condition_difficulty,local/haiku,medium,reject,7,50,14.0
claude,condition_difficulty,local/haiku,medium,revise,27,50,54.0
claude,condition_difficulty,local/haiku,medium,ambiguity_flagged,9,50,18.0
claude,condition_difficulty,local/haiku,medium,chunks_not_supportive,15,50,30.0
claude,condition_difficulty,local/haiku,medium,answer_not_verifiable,21,50,42.0
claude,condition_difficulty,local/haiku,medium,distractors_not_clear,23,50,46.0
claude,condition_difficulty,local/haiku,medium,reviewer_source_call_inaccurate,17,50,34.0
claude,condition_difficulty,local/haiku,medium,low_source_alignment,26,50,52.0
claude,condition_difficulty,local/haiku,medium,low_distractor_quality,28,50,56.0
claude,condition_difficulty,local/haiku,medium,low_stem_clarity,10,50,20.0
claude,condition_difficulty,local/haiku,medium,difficulty_mismatch,36,50,72.0
claude,condition_difficulty,local/haiku,medium,disagrees_with_reviewer,30,50,60.0
claude,condition_difficulty,local/local,,non_accept,1,1,100.0
claude,condition_difficulty,local/local,,reject,1,1,100.0
claude,condition_difficulty,local/local,,revise,0,1,0.0
claude,condition_difficulty,local/local,,ambiguity_flagged,1,1,100.0
claude,condition_difficulty,local/local,,chunks_not_supportive,0,1,0.0
claude,condition_difficulty,local/local,,answer_not_verifiable,1,1,100.0
claude,condition_difficulty,local/local,,distractors_not_clear,1,1,100.0
claude,condition_difficulty,local/local,,reviewer_source_call_inaccurate,1,1,100.0
claude,condition_difficulty,local/local,,low_source_alignment,1,1,100.0
claude,condition_difficulty,local/local,,low_distractor_quality,1,1,100.0
claude,condition_difficulty,local/local,,low_stem_clarity,1,1,100.0
claude,condition_difficulty,local/local,,difficulty_mismatch,1,1,100.0
claude,condition_difficulty,local/local,,disagrees_with_reviewer,1,1,100.0
claude,condition_difficulty,local/local,easy,non_accept,28,50,56.0
claude,condition_difficulty,local/local,easy,reject,13,50,26.0
claude,condition_difficulty,local/local,easy,revise,15,50,30.0
claude,condition_difficulty,local/local,easy,ambiguity_flagged,16,50,32.0
claude,condition_difficulty,local/local,easy,chunks_not_supportive,1,50,2.0
claude,condition_difficulty,local/local,easy,answer_not_verifiable,11,50,22.0
claude,condition_difficulty,local/local,easy,distractors_not_clear,20,50,40.0
claude,condition_difficulty,local/local,easy,reviewer_source_call_inaccurate,14,50,28.0
claude,condition_difficulty,local/local,easy,low_source_alignment,15,50,30.0
claude,condition_difficulty,local/local,easy,low_distractor_quality,35,50,70.0
claude,condition_difficulty,local/local,easy,low_stem_clarity,13,50,26.0
claude,condition_difficulty,local/local,easy,difficulty_mismatch,15,50,30.0
claude,condition_difficulty,local/local,easy,disagrees_with_reviewer,19,50,38.0
claude,condition_difficulty,local/local,hard,non_accept,39,50,78.0
claude,condition_difficulty,local/local,hard,reject,10,50,20.0
claude,condition_difficulty,local/local,hard,revise,29,50,58.0
claude,condition_difficulty,local/local,hard,ambiguity_flagged,7,50,14.0
claude,condition_difficulty,local/local,hard,chunks_not_supportive,0,50,0.0
claude,condition_difficulty,local/local,hard,answer_not_verifiable,19,50,38.0
claude,condition_difficulty,local/local,hard,distractors_not_clear,34,50,68.0
claude,condition_difficulty,local/local,hard,reviewer_source_call_inaccurate,0,50,0.0
claude,condition_difficulty,local/local,hard,low_source_alignment,25,50,50.0
claude,condition_difficulty,local/local,hard,low_distractor_quality,38,50,76.0
claude,condition_difficulty,local/local,hard,low_stem_clarity,17,50,34.0
claude,condition_difficulty,local/local,hard,difficulty_mismatch,31,50,62.0
claude,condition_difficulty,local/local,hard,disagrees_with_reviewer,13,50,26.0
claude,condition_difficulty,local/local,medium,non_accept,19,49,38.776
claude,condition_difficulty,local/local,medium,reject,5,49,10.204
claude,condition_difficulty,local/local,medium,revise,14,49,28.571
claude,condition_difficulty,local/local,medium,ambiguity_flagged,8,49,16.327
claude,condition_difficulty,local/local,medium,chunks_not_supportive,2,49,4.082
claude,condition_difficulty,local/local,medium,answer_not_verifiable,11,49,22.449
claude,condition_difficulty,local/local,medium,distractors_not_clear,12,49,24.49
claude,condition_difficulty,local/local,medium,reviewer_source_call_inaccurate,9,49,18.367
claude,condition_difficulty,local/local,medium,low_source_alignment,11,49,22.449
